Direction,Elevator,Floor,Garden,Layout,Region,Price,Renovation,Size,Year
南,有电梯,低楼层(共33层),永新城,3室2厅,徐汇,1470,精装,126.27,1995
南北,有电梯,中楼层(共26层),耀江花园,3室2厅,黄浦,1620,精装,136.89,1995
南,有电梯,低楼层(共7层),缘圆宝邸,2室2厅,嘉定,324,精装,73.01,1995
南,无电梯,高楼层(共6层),宝仪花苑,2室1厅,闵行,460,精装,72,1995
南,无电梯,中楼层(共6层),金利公寓,2室2厅,浦东,350,精装,87.88,1995
南,无电梯,低楼层(共6层),罗山六村,3室1厅,浦东,460,简装,94.34,1995
暂无数据,有电梯,中楼层(共21层),名都古北,4室2厅,闵行,1660,精装,229,1995
南,有电梯,中楼层(共17层),浦东星河湾,4室3厅,浦东,2700,精装,301.31,1995
南,有电梯,中楼层(共12层),静安新城七区,3室2厅,闵行,978,精装,137,1995
西南,有电梯,中楼层(共35层),江临天下,3室2厅,浦东,1350,其他,148.55,1995
南北,有电梯,高楼层(共17层),中环家园,3室2厅,普陀,818,精装,131.82,1995
南北,无电梯,低楼层(共6层),金帝城市岸泊(公寓),3室2厅,嘉定,395,精装,114.37,1995
东南,,高楼层(共30层),新时空国际商务广场,1室1厅,长宁,195,精装,40.61,1995
南北,无电梯,高楼层(共6层),西凌新邨,2室1厅,黄浦,400,简装,56.56,1995
南,无电梯,高楼层(共7层),三门路358弄,2室1厅,杨浦,285,毛坯,60.68,1995
南,有电梯,低楼层(共11层),鼎鑫名流世家,2室2厅,浦东,390,精装,92.72,1995
东,无电梯,高楼层(共6层),威宁小区,2室1厅,长宁,338,精装,55.16,1995
南,无电梯,高楼层(共6层),育秀三区,2室1厅,奉贤,147.8,其他,67.98,1995
南,有电梯,高楼层(共32层),徐汇苑,2室2厅,徐汇,1030,简装,129.52,1995
南,无电梯,高楼层(共6层),共富四村,2室1厅,宝山,289,简装,78.71,1995
南,无电梯,高楼层(共6层),仲信苑,2室1厅,长宁,550,其他,64.25,1995
南,有电梯,低楼层(共11层),水清年华花园,1室1厅,闵行,320,精装,58.62,1995
南,有电梯,高楼层(共18层),华丽家族花园,3室2厅,浦东,1450,精装,155.25,1995
南,有电梯,中楼层(共7层),涵合园(公寓),3室2厅,浦东,1345,精装,174.8,1995
南,有电梯,中楼层(共8层),秋水云庐,3室2厅,普陀,1200,简装,145.89,1995
南,有电梯,低楼层(共26层),耀江花园,3室2厅,黄浦,1580,精装,136.25,1995
南北,有电梯,中楼层(共17层),万达城市公寓,2室2厅,嘉定,470,精装,87.07,1995
南北,有电梯,高楼层(共35层),大同花园南区,3室2厅,黄浦,1230,简装,153.74,1995
西南,,低楼层(共31层),尚海湾豪庭,3室2厅,徐汇,1299,精装,144.87,1995
南西南,有电梯,低楼层(共35层),江临天下,4室2厅,浦东,1500,精装,165.73,1995
南北,有电梯,高楼层(共14层),祥源福邸,2室2厅,嘉定,355,精装,86.18,1995
南北,有电梯,高楼层(共9层),玉华东苑,3室2厅,宝山,600,精装,118.95,1995
南,有电梯,中楼层(共26层),仁恒河滨城(三期),2室2厅,浦东,1170,精装,112.69,1995
南北,有电梯,中楼层(共20层),大宁金茂府,3室2厅,闸北,1580,精装,159.86,1995
南,有电梯,低楼层(共15层),当代清水园,3室2厅,浦东,1288.9,精装,135.56,1995
南,有电梯,低楼层(共16层),大华锦绣华城(十八街区)(公寓),2室2厅,浦东,646,简装,82.88,1995
南,无电梯,高楼层(共6层),华高二村,1室1厅,浦东,230,简装,54.05,1995
南,有电梯,高楼层(共35层),国信世纪海景,3室2厅,浦东,2350,精装,235.69,1995
暂无数据,无电梯,高楼层(共6层),通海一小区,2室1厅,闵行,210,简装,70.53,1995
南北,有电梯,高楼层(共18层),龙湖郦城,3室2厅,嘉定,442,其他,104.69,1995
南,有电梯,高楼层(共18层),古北御庭,2室2厅,浦东,1010,精装,104.93,1995
南,无电梯,低楼层(共6层),竹园小区(嘉定),2室1厅,嘉定,228,精装,75.96,1995
南北,有电梯,低楼层(共22层),好世皇马苑,2室2厅,嘉定,335,精装,83.55,1995
南,有电梯,低楼层(共43层),盛大金磐,3室2厅,浦东,2300,精装,194.28,1995
南,有电梯,高楼层(共16层),佳信都市花园(公寓),7室2厅,长宁,1880,简装,261.11,1995
东南,有电梯,中楼层(共21层),延平大厦,2室2厅,静安,860,精装,116.27,1995
南,,高楼层(共7层),静安恬园,3室2厅,静安,849,精装,137.25,1995
南,有电梯,中楼层(共16层),环球翡翠湾花园(公寓),2室2厅,浦东,550,精装,94.46,1995
南,有电梯,中楼层(共12层),经纬阳光水岸家园(一期),1室2厅,宝山,305,精装,60.14,1995
南,有电梯,低楼层(共33层),中凯城市之光(徐汇),4室2厅,徐汇,4500,精装,403.91,1995
南,有电梯,低楼层(共25层),临沂大楼,2室2厅,浦东,510,其他,88.27,1995
南,无电梯,低楼层(共6层),申江豪城,2室2厅,浦东,570,简装,91.22,1995
南,有电梯,低楼层(共11层),大华清水湾,4室2厅,普陀,1400,简装,193.73,1995
南北,有电梯,高楼层(共13层),印象春城,2室2厅,浦东,405,简装,89.95,1995
南,无电梯,高楼层(共6层),沁秋小区,2室1厅,长宁,275,精装,50.54,1995
南,有电梯,低楼层(共20层),江临天下,3室2厅,浦东,1150,精装,129.75,1995
西北,无电梯,低楼层(共6层),香楠小区,2室1厅,浦东,355,精装,71.76,1995
南,有电梯,低楼层(共23层),虹桥衡园,3室2厅,闵行,950,精装,147.15,1995
南,有电梯,高楼层(共33层),城市方园,2室1厅,杨浦,330,精装,69.81,1995
南,有电梯,低楼层(共16层),金桥瑞仕花园,3室3厅,浦东,1600,精装,292.31,1995
南,有电梯,低楼层(共30层),尚海湾豪庭,5室2厅,徐汇,2750,精装,267.79,1995
南,有电梯,中楼层(共18层),永兆豪庭,3室2厅,徐汇,850,毛坯,128.36,1995
南,无电梯,高楼层(共6层),紫叶花园,1室1厅,浦东,240,简装,48.3,1995
南,有电梯,高楼层(共24层),东上海中心,2室1厅,杨浦,620,精装,85.97,1995
南,无电梯,高楼层(共6层),沁秋小区,2室1厅,长宁,330,精装,58.9,1995
南,无电梯,高楼层(共6层),汪家井小区,1室1厅,普陀,212,精装,45.57,1995
南,有电梯,低楼层(共29层),馨宁公寓,1室0厅,徐汇,240,其他,42.29,1995
南,无电梯,中楼层(共4层),永嘉新村,2室1厅,徐汇,1090,精装,89.3,1995
南,有电梯,低楼层(共20层),中海御景熙岸(公寓),3室2厅,浦东,393,精装,88.82,1995
南,无电梯,高楼层(共6层),紫荆新苑,3室2厅,黄浦,840,简装,119.04,1995
南北,有电梯,高楼层(共24层),四和花园,3室1厅,静安,808,精装,94.63,1995
南,无电梯,中楼层(共5层),同润加州(公寓),3室2厅,松江,415,毛坯,136.84,1995
南,无电梯,低楼层(共4层),祝和苑,1室1厅,浦东,150,其他,53,1995
南,,高楼层(共29层),荣和怡景园,2室1厅,普陀,340,精装,65,1995
南北,无电梯,高楼层(共6层),四平路幸福村,2室1厅,虹口,325,精装,55.52,1995
南,,高楼层(共18层),同润蓝美俊庭,2室2厅,浦东,185,毛坯,92.46,1995
南,有电梯,中楼层(共11层),中鼎豪园,3室2厅,普陀,715,毛坯,138.32,1995
南,有电梯,中楼层(共21层),香梅花园,3室2厅,浦东,1300,精装,159.01,1995
南西北,有电梯,中楼层(共17层),保利叶语(二期)(公寓),4室2厅,宝山,620,毛坯,123.42,1995
南,有电梯,高楼层(共14层),浦润苑,2室2厅,闵行,256,毛坯,82.94,1995
南,,高楼层(共6层),佳乐苑,3室2厅,青浦,309,毛坯,124.34,1995
南,无电梯,中楼层(共6层),樱花坊,2室2厅,浦东,625,简装,77.49,1995
南北,无电梯,中楼层(共7层),泰宸苑,2室2厅,普陀,470,精装,86,1995
南,有电梯,高楼层(共22层),爱家亚洲花园,2室2厅,浦东,750,简装,118.88,1995
南北,无电梯,高楼层(共6层),杉林新月环林东路879弄,3室1厅,浦东,345,简装,74.44,1995
南,,高楼层(共26层),翔和雅苑,2室2厅,嘉定,250,毛坯,70.46,1995
南北,有电梯,中楼层(共11层),新浦江城(江栀路350弄),2室2厅,闵行,530,毛坯,89.69,1995
南北,有电梯,中楼层(共28层),金瓯万国大厦,3室2厅,黄浦,1050,精装,126.32,1995
南,有电梯,高楼层(共19层),米兰诺贵都,2室2厅,松江,310,精装,87.53,1995
南,,高楼层(共18层),翔和雅苑,2室1厅,嘉定,255,毛坯,69.6,1995
南,有电梯,中楼层(共14层),浦润苑,2室2厅,闵行,261,毛坯,80.22,1995
南北,有电梯,低楼层(共11层),永泰花苑,2室1厅,浦东,348,简装,73.16,1995
南,,高楼层(共8层),保集澜湾(公寓),3室2厅,浦东,645,毛坯,123.33,1995
南,有电梯,低楼层(共20层),绿地清猗园(威廉公馆),2室2厅,嘉定,410,毛坯,86.99,1995
南,无电梯,低楼层(共6层),景峰苑,2室1厅,上海周边,310,简装,61.59,1995
南,有电梯,低楼层(共18层),嘉秀新苑,2室2厅,嘉定,420,简装,85.89,1995
南,无电梯,高楼层(共6层),昕泰苑,3室2厅,浦东,710,其他,135.48,1995
南,有电梯,中楼层(共13层),保利金爵公寓,3室1厅,浦东,440,其他,83.36,1995
南,有电梯,低楼层(共18层),大华锦绣华城(四街区),2室2厅,浦东,550,毛坯,94.37,1995
南北,有电梯,中楼层(共11层),城中花园,3室2厅,浦东,520,精装,122.2,1995
东南,有电梯,中楼层(共33层),新湖明珠城,3室2厅,普陀,1330,毛坯,179.91,1995
南北,有电梯,高楼层(共19层),达安花园,3室2厅,静安,898,精装,121.11,1995
南,有电梯,中楼层(共24层),鑫隆花园,2室1厅,徐汇,415,其他,89.87,1995
南,无电梯,高楼层(共6层),证大家园(二期),2室2厅,浦东,589,精装,84.52,1995
东南,有电梯,低楼层(共26层),阳光威尼斯(三期),2室1厅,普陀,315,简装,77.95,1995
南,有电梯,低楼层(共14层),经纬学府涵青花园(二期),2室2厅,宝山,416,精装,95.28,1995
南,有电梯,中楼层(共18层),莱顿小城,2室2厅,松江,280,精装,85.78,1995
西,有电梯,高楼层(共49层),世茂滨江花园,3室2厅,浦东,2190,精装,237.93,1995
南,有电梯,低楼层(共14层),上海绿城,3室2厅,浦东,1000,精装,125.61,1995
南北,无电梯,高楼层(共6层),成亿家园,2室2厅,闵行,608,简装,107.13,1995
东南,有电梯,中楼层(共34层),佳安公寓,3室2厅,徐汇,988,精装,167.37,1995
南,无电梯,高楼层(共6层),三林安居苑,2室1厅,浦东,320,精装,64,1995
南,有电梯,中楼层(共29层),天际花园,3室2厅,徐汇,1500,精装,152.44,1995
南,有电梯,高楼层(共18层),黄浦丽园,2室2厅,黄浦,1090,精装,104,1995
南北,无电梯,中楼层(共6层),杉林新月环林东路879弄,2室1厅,浦东,388,其他,73.49,1995
南西北,,中楼层(共7层),静安恬园,3室2厅,静安,870,精装,146.13,1995
西南,有电梯,低楼层(共38层),融创滨江壹号院,3室2厅,黄浦,2300,精装,217.91,1995
南,,低楼层(共23层),大名城名郡,3室2厅,嘉定,285,精装,88,1995
南北,无电梯,高楼层(共6层),川杨新苑(三期),2室2厅,浦东,350,简装,87.37,1995
东北,有电梯,低楼层(共22层),世纪之门,2室2厅,普陀,605,简装,91.62,1995
西南,有电梯,高楼层(共4层),金桥酒店公寓,1室1厅,浦东,400,精装,63.79,1995
南北,有电梯,低楼层(共17层),福源汇居,2室2厅,徐汇,1100,精装,120.93,1995
东南,有电梯,低楼层(共35层),江临天下,4室2厅,浦东,1648,精装,197.07,1995
南,有电梯,高楼层(共16层),奥林匹克花园,2室2厅,松江,335,精装,81.7,1995
南,有电梯,中楼层(共28层),襄阳公寓,2室2厅,徐汇,1260,精装,111.89,1995
南,无电梯,高楼层(共6层),万科假日风景(公寓),2室2厅,闵行,560,简装,91.8,1995
暂无数据,无电梯,低楼层(共6层),紫叶花园东园,2室1厅,浦东,355,简装,68.65,1995
南,无电梯,中楼层(共6层),十字街大楼,3室2厅,浦东,220,毛坯,94.81,1995
北,,低楼层(共30层),华丽家族汇景天地(商业类),1室1厅,黄浦,300,精装,68.09,1995
南,无电梯,低楼层(共6层),水霞小区,2室1厅,长宁,372,简装,49,1995
东南,有电梯,中楼层(共25层),仁恒河滨花园,4室2厅,长宁,1470,精装,163.1,1995
南,无电梯,高楼层(共6层),南方新村,1室1厅,闵行,240,简装,47.43,1995
南,有电梯,低楼层(共32层),香港丽园,3室2厅,虹口,785,精装,112.65,1995
南,有电梯,低楼层(共14层),碧林湾(公寓),3室2厅,闵行,710,精装,129,1995
南,有电梯,低楼层(共29层),馨宁公寓,2室1厅,徐汇,335,其他,62.4,1995
南,有电梯,低楼层(共18层),大华锦绣华城(十五街区),3室2厅,浦东,830,精装,101,1995
西南,有电梯,低楼层(共23层),中远两湾城,3室2厅,普陀,810,精装,118.7,1995
南,有电梯,低楼层(共14层),新凯城香樟苑,3室1厅,松江,241,简装,80.5,1995
南,有电梯,中楼层(共28层),武宁小城,2室1厅,普陀,575,精装,92.03,1995
南,无电梯,高楼层(共6层),花苑茶花园,2室1厅,徐汇,368,简装,59.16,1995
南,无电梯,高楼层(共6层),南方新村,3室1厅,闵行,415,简装,89.19,1995
南,无电梯,高楼层(共6层),东方花园(一期),2室2厅,闵行,438,精装,82.81,1995
南,有电梯,低楼层(共11层),御上海,2室2厅,松江,380,毛坯,92.23,1995
东南,无电梯,高楼层(共6层),景江苑A区,2室2厅,闵行,315,毛坯,90.45,1995
南,有电梯,低楼层(共31层),圣骊河滨苑,2室1厅,杨浦,720,精装,85.84,1995
南,有电梯,低楼层(共21层),香梅花园(三-五期),2室2厅,浦东,1100,精装,131.5,1995
南,有电梯,高楼层(共30层),太阳都市花园,3室2厅,黄浦,1800,精装,171.03,1995
南,有电梯,低楼层(共18层),印象春城,3室2厅,浦东,610,精装,136.17,1995
南,无电梯,中楼层(共6层),蒙自路601弄,2室2厅,黄浦,590,精装,78.57,1995
